date,net_pnl_usd,total_R,accuracy_pct,profit_factor,trade_count,report_style,trim_verdict
2025-11-17,592.92,,,,5,narrative,outlier-carried
2025-11-18,815,,,,11,narrative,none
2025-11-19,1679,,,,6,narrative,outlier-carried
2025-11-20,3729,,,,11,narrative,outlier-carried
2025-11-21,-8568.38,,,,6,narrative,loss
2025-11-24,8210,,,,13,narrative,outlier-carried
2025-11-25,2658.47,,,,5,narrative,broad-green
2025-11-26,3472,,,,12,narrative,outlier-carried
2025-12-01,-2050,,,,13,narrative,loss
2025-12-02,2664,,,,13,narrative,outlier-carried
2025-12-03,,,,,10,narrative,outlier-carried
2025-12-04,3406,,,,13,narrative,outlier-carried
2025-12-05,,,,,12,narrative,outlier-carried
2025-12-08,,,,,10,narrative,broad-red
2025-12-09,7509,,,,17,narrative,outlier-carried
2025-12-10,11547,,,,14,narrative,outlier-carried
2025-12-11,-2258,,,,11,narrative,loss
2025-12-12,,,,,,narrative,none
2025-12-15,,,,,15,narrative,outlier-carried
2025-12-16,-16290,,,,18,narrative,outlier-carried
2025-12-17,260.64,,,,10,narrative,loss
2025-12-18,1313.92,,,,11,narrative,outlier-carried
2025-12-19,-5787,,,,9,narrative,broad-red
2025-12-22,1181,,,,10,narrative,none
2025-12-23,-2549,,,,8,narrative,broad-red
2025-12-24,,,,,8,narrative,none
2025-12-26,-413.63,,,,5,narrative,loss
2025-12-29,1321.59,,,,5,narrative,outlier-carried
2025-12-30,1218,,,,8,narrative,outlier-carried
2025-12-31,1895.48,,,,11,narrative,none
2026-01-02,908.72,,,,5,narrative,outlier-carried
2026-01-05,,,,,5,narrative,outlier-carried
2026-01-06,,,50,,36,narrative,loss
2026-01-07,-1641.65,,,,5,narrative,broad-red
2026-01-08,348.37,,,,5,narrative,outlier-carried
2026-01-09,363.43,,,,5,narrative,outlier-carried
2026-01-12,-2162.22,,,,6,narrative,broad-red
2026-01-13,-2193.36,,,,5,narrative,loss
2026-01-14,-117.27,,,,6,narrative,outlier-carried
2026-01-15,1627,,,,10,narrative,outlier-carried
2026-01-16,4535.60,,,,9,narrative,broad-green
2026-01-20,1311,,,,8,narrative,outlier-carried
2026-01-21,-4283,,,,9,narrative,broad-red
2026-01-22,,,,,12,narrative,none
2026-01-23,-4562.49,,,,9,narrative,broad-red
2026-01-26,-5247.47,,,,7,narrative,broad-red
2026-01-27,-417,,,,8,narrative,loss
2026-01-28,2973.5,,,,5,narrative,broad-green
2026-01-29,3708.13,,,,5,narrative,broad-green
2026-01-30,225.85,,,,6,narrative,outlier-carried
2026-02-02,507.25,,,,5,narrative,outlier-carried
2026-02-03,-2177.29,,,,5,narrative,broad-red
2026-02-04,2161.49,,,,5,narrative,outlier-carried
2026-02-05,,,80,,10,narrative,none
2026-02-06,,,,,10,narrative,none
2026-02-09,-1439,,,,7,narrative,loss
2026-02-10,-317,,,,5,narrative,outlier-carried
2026-02-11,1946,,,,7,narrative,none
2026-02-12,,,47,,32,narrative,outlier-carried
2026-02-13,-3171.04,,,,8,narrative,broad-red
2026-02-17,379.85,,60,,5,narrative,none
2026-02-18,,,,,5,narrative,none
2026-02-19,839.20,,,,5,narrative,outlier-carried
2026-02-20,-1827.05,,,,5,narrative,broad-red
2026-02-23,-876.97,,,,5,narrative,broad-red
2026-02-24,,,,,5,narrative,none
2026-02-25,1185.95,3.04,,,5,narrative,outlier-carried
2026-02-26,1021.49,,,,5,narrative,outlier-carried
2026-02-27,737.59,,,,5,narrative,none
2026-03-02,-1648.48,,,,10,narrative,none
2026-03-03,,,,,6,narrative,outlier-carried
2026-03-04,-117,,,,10,narrative,loss
2026-03-05,,,,,6,narrative,none
2026-03-06,-1047.27,,,,5,narrative,broad-red
2026-03-09,,,,,5,narrative,outlier-carried
2026-03-10,,,,,84,narrative,none
2026-03-11,,,,,5,narrative,none
2026-03-12,107.12,1.20,80,1.79,5,narrative,none
2026-03-13,,,,,27,narrative,loss
2026-03-16,2420.25,8.37,50,1.66,10,narrative,outlier-carried
2026-03-17,2362.75,7.52,67,8.11,4,narrative,outlier-carried
2026-03-18,1710.01,5.09,45,1.85,10,narrative,outlier-carried
2026-03-19,698.42,1.98,46,1.38,5,narrative,none
2026-03-20,1352.67,3.77,48,2.51,4,narrative,none
2026-03-23,-2112.82,-5.66,40,0.21,5,narrative,broad-red
2026-03-24,-625.29,-1.78,44,0.73,11,narrative,loss
2026-03-25,467.62,1.36,45,1.41,6,narrative,outlier-carried
2026-03-26,-423.91,-1.45,50,0.85,28,narrative,loss
2026-03-27,103.26,0.36,44,1.03,8,narrative,outlier-carried
2026-03-30,188.81,0.65,49,1.05,12,narrative,none
2026-03-31,654.08,2.26,67,3.69,3,narrative,none
2026-04-01,-1432.06,-4.84,43,0.59,6,narrative,broad-red
2026-04-02,595.98,2.11,56,1.35,5,narrative,outlier-carried
2026-04-06,1428.37,5.03,69,4.27,4,narrative,outlier-carried
2026-04-07,1353.60,4.54,42,1.54,57,narrative,outlier-carried
2026-04-08,2565.31,8.22,50,3.27,38,narrative,outlier-carried
2026-04-09,244.32,0.72,38,1.09,68,narrative,outlier-carried
2026-04-10,-741.19,-2.18,45.6,0.84,90,quant,loss
2026-04-13,404.05,1.21,46,1.07,94,narrative,outlier-carried
